=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.06.04 09:08:28 =~=~=~=~=~=~=~=~=~=~=~=
show client summary 

Number of Clients................................ 95

                                                       RLAN/
MAC Address       AP Name           Slot Status        WLAN  Auth Protocol         Port Wired PMIPV6 Role
----------------- ----------------- ---- ------------- ----- ---- ---------------- ---- ----- ------ ----------------
00:1c:bf:bb:7e:98 CENTRO-II          0   Associated     3    Yes  802.11g          1    N/A   No     Local           
74:e5:0b:86:f8:cc CENTRO-II          0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
74:e5:0b:b7:de:fe CENTRO-II          0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
74:e5:0b:ed:c5:d2 CENTRO-II          0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
74:e5:0b:f0:97:70 CENTROI-OPERACIONES  0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
78:4f:43:a3:fb:fc ATRIUM-PISO2       0   Associated     4    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
7c:2e:dd:e9:e4:d2 CENTRO-II          0   Pending        4    No   802.11n(2.4 GHz) 1    N/A   No     Unassociated    
80:9b:20:6b:25:5c CENTRO-II          0   Associated     3    No   802.11n(2.4 GHz) 1    N/A   No     Unassociated    
84:98:66:17:0a:db ATRIUM-PISO-4      0   Authenticated  4    No   802.11n(2.4 GHz) 1    N/A   No     Unassociated    


Would you like to display more entries? (y/n) y

84:c7:ea:e3:95:f0 CENTRO-II          0   Associated     4    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
90:b6:86:6c:da:a7 CENTRO-II          1   Associated     4    Yes  802.11ac(5 GHz)  1    N/A   No     Local           
9c:4e:36:97:ad:f4 CENTROI-OPERACIONES  0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
9c:4e:36:97:b2:34 CENTRO-I           0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
9c:4e:36:a1:12:00 CENTRO-II          0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
9c:4e:36:a1:6e:e0 CENTRO-I           0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
9c:4e:36:a1:6f:00 CENTROI-OPERACIONES  0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
9c:4e:36:a1:eb:90 ATRIUM-PISO2       0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
9c:4e:36:a1:fa:b8 CENTRO-II          0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
9c:4e:36:a3:12:4c ATRIUM-PISO2       0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
9c:ad:97:dd:ae:07 CENTRO-II          0   Associated     4    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
a4:4e:31:8a:df:9c ATRIUM-PISO-4      1   Associated     3    Yes  802.11n(5 GHz)   1    N/A   No     Local           
a4:4e:31:e3:64:10 CENTRO-I           0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
a4:4e:31:e3:74:58 ATRIUM-SOTANO      0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
a4:4e:31:e3:74:ac ATRIUM-PISO-3      0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           


Would you like to display more entries? (y/n) y

a4:4e:31:e3:76:20 ATRIUM-PISO-3      0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
a4:4e:31:e3:82:90 ATRIUM-PISO-3      0   Associated     3    No   802.11n(2.4 GHz) 1    N/A   No     Unassociated    
a4:4e:31:e5:f6:d4 CENTRO-I           0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
a4:4e:31:e6:16:b8 CENTRO-I           0   Associated     3    Yes  802.11n(2.4 GHz) 1    N/A   No     Local           
